"Step","Feb25_09-46-53_trpo_rover_TRPO - Reward / Total reward (mean)","Feb25_09-46-53_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb25_09-46-53_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"3864","0.17551094","0.17551094","0.17551094"
"3881","0.42479816","0.42479816","0.42479816"
"3902","-0.11949271","-0.11949271","-0.11949271"
"3923","0.10592572","0.10592572","0.10592572"
"3940","0.15726389","0.15726389","0.15726389"
"3961","0.11773167","0.11773167","0.11773167"
"3982","0.3179151","0.3179151","0.3179151"
"4003","0.051213883","0.051213883","0.051213883"
"4020","0.05932444","0.05932444","0.05932444"
"4041","0.16179144","0.16179144","0.16179144"
"4058","0.16131848","0.16131848","0.16131848"
"4071","0.12195636","0.12195636","0.12195636"
"4100","-0.013668962","-0.013668962","-0.013668962"
"4117","-0.023814427","-0.023814427","-0.023814427"
"4138","0.082369","0.082369","0.082369"
"4159","0.26444554","0.26444554","0.26444554"
"4176","0.16766158","0.16766158","0.16766158"
"4197","0.3659909","0.3659909","0.3659909"
"4218","-0.17431457","-0.17431457","-0.17431457"
"4227","0.20167617","0.20167617","0.20167617"
"4256","0.40041637","0.40041637","0.40041637"
"4277","0.4020948","0.4020948","0.4020948"
"4294","0.1708541","0.1708541","0.1708541"
"4315","0.23927009","0.23927009","0.23927009"
"4336","0.80030006","0.80030006","0.80030006"
"4353","0.094906814","0.094906814","0.094906814"
"4374","0.292859","0.292859","0.292859"
"4395","0.07579193","0.07579193","0.07579193"
"4412","0.158419","0.158419","0.158419"
"4433","0.15403448","0.15403448","0.15403448"
"4454","0.0916023","0.0916023","0.0916023"
"4471","0.3321261","0.3321261","0.3321261"
"4492","0.0060715657","0.0060715657","0.0060715657"
"4513","0.113260284","0.113260284","0.113260284"
"4530","0.15438464","0.15438464","0.15438464"
"4551","0.29117575","0.29117575","0.29117575"
"4572","0.28564808","0.28564808","0.28564808"
"4589","-0.34949747","-0.34949747","-0.34949747"
"4602","0.26862204","0.26862204","0.26862204"
"4623","0.0033989635","0.0033989635","0.0033989635"
"4648","-0.044879764","-0.044879764","-0.044879764"
"4669","0.12474482","0.12474482","0.12474482"
"4690","0.18410969","0.18410969","0.18410969"
"4707","-0.06158251","-0.06158251","-0.06158251"
"4728","-0.0077965874","-0.0077965874","-0.0077965874"
"4749","0.124628685","0.124628685","0.124628685"
"4766","0.13814814","0.13814814","0.13814814"
"4787","0.057142276","0.057142276","0.057142276"
"4808","0.08034828","0.08034828","0.08034828"
"4825","0.47253653","0.47253653","0.47253653"
"4846","0.1264673","0.1264673","0.1264673"
"4859","0.068530306","0.068530306","0.068530306"
"4884","-0.015411244","-0.015411244","-0.015411244"
"4897","0.14428575","0.14428575","0.14428575"
"4918","0.33042392","0.33042392","0.33042392"
"4943","0.5400281","0.5400281","0.5400281"
"4964","-0.06377387","-0.06377387","-0.06377387"
"4985","0.1451069","0.1451069","0.1451069"
"5002","0.3459541","0.3459541","0.3459541"
"5023","0.11996009","0.11996009","0.11996009"
"5044","-0.21416563","-0.21416563","-0.21416563"
"5053","0.012687532","0.012687532","0.012687532"
"5082","0.16774316","0.16774316","0.16774316"
"5103","0.43144608","0.43144608","0.43144608"
"5120","0.23642345","0.23642345","0.23642345"
"5141","0.33931246","0.33931246","0.33931246"
"5162","-0.0656045","-0.0656045","-0.0656045"
"5179","-0.055329062","-0.055329062","-0.055329062"
"5200","0.12414827","0.12414827","0.12414827"
"5221","0.1474753","0.1474753","0.1474753"
"5238","-0.10437479","-0.10437479","-0.10437479"
"5259","0.106771246","0.106771246","0.106771246"
"5280","0.20634232","0.20634232","0.20634232"
"5297","0.3170617","0.3170617","0.3170617"
"5318","0.109813094","0.109813094","0.109813094"
"5339","0.38270852","0.38270852","0.38270852"
"5348","0.29905784","0.29905784","0.29905784"
"5377","0.092738025","0.092738025","0.092738025"
"5398","0.12035671","0.12035671","0.12035671"
"5415","0.1582875","0.1582875","0.1582875"
"5428","0.13329053","0.13329053","0.13329053"
"5457","0.348818","0.348818","0.348818"
"5466","0.030491741","0.030491741","0.030491741"
