"Step","Feb25_18-22-37_trpo_rover_TRPO - Reward / Total reward (mean)","Feb25_18-22-37_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb25_18-22-37_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"5391","1.2228665","1.2228665","1.2228665"
"5420","1.1603111","1.1603111","1.1603111"
"5441","1.4612775","1.4612775","1.4612775"
"5450","1.2956158","1.2956158","1.2956158"
"5471","1.606298","1.606298","1.606298"
"5492","1.3484842","1.3484842","1.3484842"
"5509","0.7683458","0.7683458","0.7683458"
"5530","1.6083485","1.6083485","1.6083485"
"5551","1.5281355","1.5281355","1.5281355"
"5576","1.2036713","1.2036713","1.2036713"
"5597","1.0725716","1.0725716","1.0725716"
"5610","1.2791338","1.2791338","1.2791338"
"5627","1.5184827","1.5184827","1.5184827"
"5656","1.4102981","1.4102981","1.4102981"
"5669","0.9924832","0.9924832","0.9924832"
"5694","1.027725","1.027725","1.027725"
"5707","1.4836962","1.4836962","1.4836962"
"5728","1.2042955","1.2042955","1.2042955"
"5745","1.0389819","1.0389819","1.0389819"
"5766","1.6625123","1.6625123","1.6625123"
"5787","1.607417","1.607417","1.607417"
"5804","1.0933931","1.0933931","1.0933931"
"5825","1.2993674","1.2993674","1.2993674"
"5846","1.2406875","1.2406875","1.2406875"
"5871","1.2586377","1.2586377","1.2586377"
"5892","1.5023835","1.5023835","1.5023835"
"5913","1.1319133","1.1319133","1.1319133"
"5922","1.7384526","1.7384526","1.7384526"
"5951","1.3368545","1.3368545","1.3368545"
"5972","1.230284","1.230284","1.230284"
"5981","1.3793857","1.3793857","1.3793857"
"6010","1.434832","1.434832","1.434832"
"6023","1.2510657","1.2510657","1.2510657"
"6048","1.6305791","1.6305791","1.6305791"
"6061","1.6417512","1.6417512","1.6417512"
"6090","1.1591136","1.1591136","1.1591136"
"6107","1.07664","1.07664","1.07664"
"6128","0.9047175","0.9047175","0.9047175"
"6141","1.0769699","1.0769699","1.0769699"
"6158","0.8861254","0.8861254","0.8861254"
"6187","1.0578043","1.0578043","1.0578043"
"6200","1.5293206","1.5293206","1.5293206"
"6225","1.6104993","1.6104993","1.6104993"
"6238","1.1583213","1.1583213","1.1583213"
"6267","1.1982813","1.1982813","1.1982813"
"6276","1.0970693","1.0970693","1.0970693"
"6297","1.3553711","1.3553711","1.3553711"
"6318","1.5638812","1.5638812","1.5638812"
"6343","1.068536","1.068536","1.068536"
"6364","1.4967996","1.4967996","1.4967996"
"6385","1.1849495","1.1849495","1.1849495"
"6394","1.3116653","1.3116653","1.3116653"
"6415","1.6475085","1.6475085","1.6475085"
"6436","1.5070026","1.5070026","1.5070026"
"6453","1.0525604","1.0525604","1.0525604"
"6482","1.6151519","1.6151519","1.6151519"
"6503","0.9468647","0.9468647","0.9468647"
"6512","1.4573324","1.4573324","1.4573324"
"6541","1.4903767","1.4903767","1.4903767"
"6554","1.497019","1.497019","1.497019"
"6579","0.9725242","0.9725242","0.9725242"
"6592","1.3656821","1.3656821","1.3656821"
"6613","1.190193","1.190193","1.190193"
"6638","1.0822446","1.0822446","1.0822446"
"6659","1.1745528","1.1745528","1.1745528"
"6672","0.8393213","0.8393213","0.8393213"
"6697","1.3666897","1.3666897","1.3666897"
"6718","1.1919346","1.1919346","1.1919346"
"6731","1.2666931","1.2666931","1.2666931"
"6756","1.6024014","1.6024014","1.6024014"
"6769","1.5871732","1.5871732","1.5871732"
"6790","1.600792","1.600792","1.600792"
"6807","1.1877462","1.1877462","1.1877462"
"6828","1.4130294","1.4130294","1.4130294"
"6857","1.5138597","1.5138597","1.5138597"
"6874","1.4088901","1.4088901","1.4088901"
"6895","1.468716","1.468716","1.468716"
"6916","1.3686577","1.3686577","1.3686577"
"6925","1.1329442","1.1329442","1.1329442"
"6954","1.55657","1.55657","1.55657"
"6975","1.0507073","1.0507073","1.0507073"
"6984","1.1988887","1.1988887","1.1988887"
"7013","1.4528056","1.4528056","1.4528056"
"7026","1.277973","1.277973","1.277973"
"7051","1.627676","1.627676","1.627676"
"7072","1.4186462","1.4186462","1.4186462"
"7085","1.3989141","1.3989141","1.3989141"
"7102","1.437265","1.437265","1.437265"
"7131","1.3823603","1.3823603","1.3823603"
"7152","1.3415095","1.3415095","1.3415095"
"7161","1.5343672","1.5343672","1.5343672"
"7190","1.4555695","1.4555695","1.4555695"
"7211","1.2980348","1.2980348","1.2980348"
"7220","0.8376433","0.8376433","0.8376433"
"7241","1.5992321","1.5992321","1.5992321"
"7262","1.4204842","1.4204842","1.4204842"
"7287","1.3582923","1.3582923","1.3582923"
"7300","1.3725623","1.3725623","1.3725623"
"7321","1.5282717","1.5282717","1.5282717"
"7338","1.3779105","1.3779105","1.3779105"
"7367","1.4472692","1.4472692","1.4472692"
"7380","0.99127525","0.99127525","0.99127525"
"7405","1.2532876","1.2532876","1.2532876"
"7418","1.3964524","1.3964524","1.3964524"
"7447","1.2233882","1.2233882","1.2233882"
"7464","1.0532409","1.0532409","1.0532409"
"7477","1.356498","1.356498","1.356498"
"7498","1.4008025","1.4008025","1.4008025"
"7515","1.2000872","1.2000872","1.2000872"
"7544","0.8303592","0.8303592","0.8303592"
"7557","1.2779704","1.2779704","1.2779704"
