elapsed_s,r0_speed,r0_distance,r0_x,r0_y,r1_speed,r1_distance,r1_x,r1_y
11.102,0.7308,60.2006,108.0434,102.9887,0.7683,82.5823,107.1647,101.9548
11.202,0.6943,60.2006,108.0434,102.9887,0.7299,82.5823,107.1647,101.9548
11.302,0.6596,60.2006,108.0434,102.9887,0.6934,82.5823,107.1647,101.9548
11.402,0.7157,60.0222,108.2009,102.9004,0.7706,82.6175,107.2945,102.1406
11.502,0.6799,60.0222,108.2009,102.9004,0.7321,82.6175,107.2945,102.1406
11.602,0.6459,60.0222,108.2009,102.9004,0.6955,82.6175,107.2945,102.1406
11.702,0.7,59.8466,108.3629,102.8322,0.7626,82.6879,107.3802,102.3304
11.802,0.665,59.8466,108.3629,102.8322,0.7245,82.6879,107.3802,102.3304
11.902,0.665,59.8466,108.3629,102.8322,0.7245,82.6879,107.3802,102.3304
12.002,0.6002,59.8466,108.3629,102.8322,0.6539,82.6879,107.3802,102.3304
12.102,0.668,59.8466,108.5523,102.7887,0.7295,82.6879,107.4464,102.5348
12.202,0.6346,59.6539,108.5523,102.7887,0.693,82.7828,107.4464,102.5348
12.302,0.6028,59.6539,108.5523,102.7887,0.6583,82.7828,107.4464,102.5348
12.402,0.68,59.4495,108.7663,102.7779,0.7526,82.9093,107.5106,102.7818
12.502,0.646,59.4495,108.7663,102.7779,0.7149,82.9093,107.5106,102.7818
12.602,0.6137,59.4495,108.7663,102.7779,0.6792,82.9093,107.5106,102.7818
12.702,0.6785,59.2544,108.9709,102.7687,0.7598,83.0056,107.6004,103.0109
12.802,0.6785,59.2544,108.9709,102.7687,0.7598,83.0056,107.6004,103.0109
12.902,0.6124,59.2544,108.9709,102.7687,0.6857,83.0056,107.6004,103.0109
13.003,0.6827,59.0616,109.1712,102.7545,0.7747,83.0588,107.7311,103.219
13.102,0.6485,59.0616,109.1712,102.7545,0.736,83.0588,107.7311,103.219
13.202,0.6161,59.0616,109.1712,102.7545,0.6992,83.0588,107.7311,103.219
13.302,0.6837,58.8664,109.3615,102.7061,0.7905,83.1018,107.8759,103.4259
13.402,0.6495,58.8664,109.3615,102.7061,0.751,83.1018,107.8759,103.4259
13.502,0.617,58.8664,109.3615,102.7061,0.7134,83.1018,107.8759,103.4259
13.602,0.6801,58.6791,109.534,102.6324,0.8013,83.1577,108.0062,103.6356
13.702,0.6461,58.6791,109.534,102.6324,0.7612,83.1577,108.0062,103.6356
13.802,0.6138,58.6791,109.534,102.6324,0.7232,83.1577,108.0062,103.6356
13.902,0.6748,58.4973,109.6931,102.5387,0.8123,83.2294,108.1269,103.8569
14.002,0.6411,58.4973,109.6931,102.5387,0.7717,83.2294,108.1269,103.8569
14.102,0.609,58.4973,109.6931,102.5387,0.7331,83.2294,108.1269,103.8569
14.202,0.6698,58.3238,109.8373,102.4287,0.81,83.3182,108.2121,104.0663
14.302,0.6363,58.3238,109.8373,102.4287,0.7695,83.3182,108.2121,104.0663
14.402,0.6045,58.3238,109.8373,102.4287,0.731,83.3182,108.2121,104.0663
14.502,0.6641,58.1615,109.9627,102.2999,0.8048,83.4455,108.2513,104.2836
14.602,0.6309,58.1615,109.9627,102.2999,0.7645,83.4455,108.2513,104.2836
14.702,0.5994,58.1615,109.9627,102.2999,0.7263,83.4455,108.2513,104.2836
14.802,0.6631,57.9927,110.0853,102.1443,0.7994,83.6044,108.261,104.5159
14.902,0.63,57.9927,110.0853,102.1443,0.7594,83.6044,108.261,104.5159
15.002,0.63,57.9927,110.0853,102.1443,0.7594,83.6044,108.261,104.5159
15.102,0.5685,57.9927,110.0853,102.1443,0.6854,83.6044,108.261,104.5159
15.202,0.6279,57.9927,110.207,102.0175,0.7798,83.6044,108.267,104.7721
15.302,0.5965,57.8348,110.207,102.0175,0.7408,83.7834,108.267,104.7721
15.402,0.5667,57.8348,110.207,102.0175,0.7038,83.7834,108.267,104.7721
15.502,0.616,57.6924,110.3189,101.9088,0.7869,83.9283,108.3031,105.0093
15.602,0.5852,57.6924,110.3189,101.9088,0.7475,83.9283,108.3031,105.0093
15.702,0.556,57.6924,110.3189,101.9088,0.7101,83.9283,108.3031,105.0093
15.802,0.6027,57.5445,110.4351,101.7954,0.7765,84.0298,108.374,105.2194
15.902,0.6027,57.5445,110.4351,101.7954,0.7765,84.0298,108.374,105.2194
16.002,0.544,57.5445,110.4351,101.7954,0.7008,84.0298,108.374,105.2194
16.103,0.604,57.377,110.5771,101.6956,0.7867,84.108,108.482,105.4321
16.202,0.5738,57.377,110.5771,101.6956,0.7473,84.108,108.482,105.4321
16.302,0.5451,57.377,110.5771,101.6956,0.71,84.108,108.482,105.4321
16.402,0.6031,57.2073,110.7327,101.6272,0.8048,84.1706,108.6214,105.6523
16.502,0.5729,57.2073,110.7327,101.6272,0.7645,84.1706,108.6214,105.6523
16.602,0.5443,57.2073,110.7327,101.6272,0.7263,84.1706,108.6214,105.6523
16.702,0.6028,57.0307,110.904,101.5815,0.8034,84.2222,108.7516,105.8476
16.802,0.5727,57.0307,110.904,101.5815,0.7632,84.2222,108.7516,105.8476
16.902,0.5727,57.0307,110.904,101.5815,0.7632,84.2222,108.7516,105.8476
17.002,0.5168,57.0307,110.904,101.5815,0.6888,84.2222,108.7516,105.8476
17.102,0.582,56.8513,111.0815,101.5445,0.7706,84.2613,108.8904,106.0332
17.202,0.5529,56.8513,111.0815,101.5445,0.7321,84.2613,108.8904,106.0332
17.302,0.5252,56.8513,111.0815,101.5445,0.6955,84.2613,108.8904,106.0332
17.402,0.6084,56.6364,111.2967,101.5075,0.7787,84.2941,109.038,106.2173
17.502,0.578,56.6364,111.2967,101.5075,0.7398,84.2941,109.038,106.2173
17.602,0.5491,56.6364,111.2967,101.5075,0.7028,84.2941,109.038,106.2173
17.702,0.6354,56.4069,111.5207,101.4521,0.7933,84.3552,109.1765,106.4308
17.802,0.6037,56.4069,111.5207,101.4521,0.7537,84.3552,109.1765,106.4308
17.902,0.5735,56.4069,111.5207,101.4521,0.716,84.3552,109.1765,106.4308
18.002,0.6497,56.1915,111.7231,101.3783,0.8044,84.425,109.3086,106.6493
18.103,0.6172,56.1915,111.7231,101.3783,0.7642,84.425,109.3086,106.6493
18.202,0.5864,56.1915,111.7231,101.3783,0.726,84.425,109.3086,106.6493
