"Step","Feb12_03-32-08_PPO - Reward / Total reward (mean)","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MIN","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MAX"
"3279","-2.0351222","-2.0351222","-2.0351222"
"3291","-2.2741292","-2.2741292","-2.2741292"
"3319","-2.698296","-2.698296","-2.698296"
"3336","-2.4937925","-2.4937925","-2.4937925"
"3356","-1.8305154","-1.8305154","-1.8305154"
"3376","-1.8778435","-1.8778435","-1.8778435"
"3393","-2.0961716","-2.0961716","-2.0961716"
"3405","-2.125794","-2.125794","-2.125794"
"3433","-2.1655393","-2.1655393","-2.1655393"
"3450","-1.7820872","-1.7820872","-1.7820872"
"3470","-2.147098","-2.147098","-2.147098"
"3490","-2.2816958","-2.2816958","-2.2816958"
"3507","-2.0666924","-2.0666924","-2.0666924"
"3527","-3.0030804","-3.0030804","-3.0030804"
"3547","-2.1478636","-2.1478636","-2.1478636"
"3564","-2.2506669","-2.2506669","-2.2506669"
"3584","-2.343453","-2.343453","-2.343453"
"3604","-2.6562533","-2.6562533","-2.6562533"
"3621","-2.370646","-2.370646","-2.370646"
"3641","-2.402581","-2.402581","-2.402581"
"3661","-1.8893535","-1.8893535","-1.8893535"
"3670","-2.5483365","-2.5483365","-2.5483365"
"3698","-1.5736834","-1.5736834","-1.5736834"
"3718","-2.057225","-2.057225","-2.057225"
"3735","-2.3176126","-2.3176126","-2.3176126"
"3755","-2.1707654","-2.1707654","-2.1707654"
"3775","-2.7198603","-2.7198603","-2.7198603"
"3784","-2.3166435","-2.3166435","-2.3166435"
"3812","-2.7246406","-2.7246406","-2.7246406"
"3832","-2.2594793","-2.2594793","-2.2594793"
"3841","-2.3512926","-2.3512926","-2.3512926"
"3869","-1.825737","-1.825737","-1.825737"
"3889","-1.7105521","-1.7105521","-1.7105521"
"3906","-2.0979204","-2.0979204","-2.0979204"
"3926","-2.2836008","-2.2836008","-2.2836008"
"3938","-2.1206167","-2.1206167","-2.1206167"
"3955","-1.7815166","-1.7815166","-1.7815166"
"3983","-2.7741656","-2.7741656","-2.7741656"
"3995","-2.3865829","-2.3865829","-2.3865829"
"4012","-2.3046749","-2.3046749","-2.3046749"
"4040","-2.4742618","-2.4742618","-2.4742618"
"4060","-2.360393","-2.360393","-2.360393"
"4077","-1.6968212","-1.6968212","-1.6968212"
"4089","-1.8165425","-1.8165425","-1.8165425"
"4117","-2.3084362","-2.3084362","-2.3084362"
"4134","-2.0541382","-2.0541382","-2.0541382"
"4146","-2.4588823","-2.4588823","-2.4588823"
"4174","-2.539867","-2.539867","-2.539867"
"4191","-1.830305","-1.830305","-1.830305"
"4211","-3.2036273","-3.2036273","-3.2036273"
"4231","-2.2042856","-2.2042856","-2.2042856"
"4240","-2.0214329","-2.0214329","-2.0214329"
"4268","-2.1321385","-2.1321385","-2.1321385"
"4280","-2.3517697","-2.3517697","-2.3517697"
"4305","-2.1172147","-2.1172147","-2.1172147"
"4325","-1.7100133","-1.7100133","-1.7100133"
"4337","-2.113157","-2.113157","-2.113157"
"4354","-1.9338228","-1.9338228","-1.9338228"
"4382","-2.1267278","-2.1267278","-2.1267278"
"4402","-2.003621","-2.003621","-2.003621"
"4419","-1.6003735","-1.6003735","-1.6003735"
"4439","-2.023178","-2.023178","-2.023178"
"4459","-2.0870817","-2.0870817","-2.0870817"
"4476","-1.7772038","-1.7772038","-1.7772038"
"4496","-2.0811005","-2.0811005","-2.0811005"
"4508","-1.8233572","-1.8233572","-1.8233572"
"4533","-1.9559582","-1.9559582","-1.9559582"
"4553","-2.0703425","-2.0703425","-2.0703425"
"4573","-1.6752656","-1.6752656","-1.6752656"
"4590","-1.5295638","-1.5295638","-1.5295638"
"4602","-1.544444","-1.544444","-1.544444"
"4630","-2.4148562","-2.4148562","-2.4148562"
"4647","-1.9800596","-1.9800596","-1.9800596"
"4667","-2.1478567","-2.1478567","-2.1478567"
"4687","-1.9923545","-1.9923545","-1.9923545"
"4704","-2.2019548","-2.2019548","-2.2019548"
"4716","-1.7666341","-1.7666341","-1.7666341"
"4744","-2.32054","-2.32054","-2.32054"
"4761","-2.4937408","-2.4937408","-2.4937408"
"4781","-2.2493718","-2.2493718","-2.2493718"
"4801","-1.7709558","-1.7709558","-1.7709558"
"4818","-1.5810361","-1.5810361","-1.5810361"
"4838","-2.0065827","-2.0065827","-2.0065827"
"4858","-2.1052258","-2.1052258","-2.1052258"
"4875","-2.2100532","-2.2100532","-2.2100532"
"4895","-1.9497589","-1.9497589","-1.9497589"
"4915","-1.7160968","-1.7160968","-1.7160968"
"4932","-2.047505","-2.047505","-2.047505"
"4952","-1.8099611","-1.8099611","-1.8099611"
"4964","-1.7864323","-1.7864323","-1.7864323"
"4989","-1.9789958","-1.9789958","-1.9789958"
"5009","-1.8207545","-1.8207545","-1.8207545"
"5029","-1.9188656","-1.9188656","-1.9188656"
"5046","-2.011998","-2.011998","-2.011998"
"5066","-2.0682008","-2.0682008","-2.0682008"
"5086","-2.1185591","-2.1185591","-2.1185591"
"5103","-1.9940437","-1.9940437","-1.9940437"
"5115","-2.306851","-2.306851","-2.306851"
"5143","-1.9940476","-1.9940476","-1.9940476"
"5160","-1.8850303","-1.8850303","-1.8850303"
"5180","-2.0145972","-2.0145972","-2.0145972"
"5200","-1.6733736","-1.6733736","-1.6733736"
"5217","-1.7995605","-1.7995605","-1.7995605"
"5237","-1.9386684","-1.9386684","-1.9386684"
"5257","-1.7344646","-1.7344646","-1.7344646"
