"Step","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"6187","-1.5171173","-1.5171173","-1.5171173"
"6208","-1.7392232","-1.7392232","-1.7392232"
"6225","-1.4154783","-1.4154783","-1.4154783"
"6246","-1.5160886","-1.5160886","-1.5160886"
"6267","-1.1353443","-1.1353443","-1.1353443"
"6284","-1.7057261","-1.7057261","-1.7057261"
"6305","-1.5373288","-1.5373288","-1.5373288"
"6326","-1.2324109","-1.2324109","-1.2324109"
"6343","-1.4610913","-1.4610913","-1.4610913"
"6364","-1.6457714","-1.6457714","-1.6457714"
"6385","-1.4204831","-1.4204831","-1.4204831"
"6402","-1.4552673","-1.4552673","-1.4552673"
"6415","-1.235529","-1.235529","-1.235529"
"6436","-1.4445914","-1.4445914","-1.4445914"
"6453","-1.2673445","-1.2673445","-1.2673445"
"6482","-1.4138274","-1.4138274","-1.4138274"
"6503","-1.449126","-1.449126","-1.449126"
"6512","-1.8295009","-1.8295009","-1.8295009"
"6541","-1.4363095","-1.4363095","-1.4363095"
"6554","-1.3094074","-1.3094074","-1.3094074"
"6579","-1.3968756","-1.3968756","-1.3968756"
"6600","-1.6602519","-1.6602519","-1.6602519"
"6621","-1.4637412","-1.4637412","-1.4637412"
"6638","-1.3457673","-1.3457673","-1.3457673"
"6659","-1.3125833","-1.3125833","-1.3125833"
"6680","-0.9750435","-0.9750435","-0.9750435"
"6697","-1.1608212","-1.1608212","-1.1608212"
"6718","-1.4691715","-1.4691715","-1.4691715"
"6739","-1.6981034","-1.6981034","-1.6981034"
"6756","-1.1358495","-1.1358495","-1.1358495"
"6777","-1.2568789","-1.2568789","-1.2568789"
"6790","-1.2079852","-1.2079852","-1.2079852"
"6807","-1.4243646","-1.4243646","-1.4243646"
"6836","-1.185471","-1.185471","-1.185471"
"6857","-1.3983135","-1.3983135","-1.3983135"
"6866","-1.080714","-1.080714","-1.080714"
"6895","-1.0659863","-1.0659863","-1.0659863"
"6916","-0.9992003","-0.9992003","-0.9992003"
"6933","-0.99185365","-0.99185365","-0.99185365"
"6954","-1.191409","-1.191409","-1.191409"
"6975","-1.1578981","-1.1578981","-1.1578981"
"6992","-1.0754219","-1.0754219","-1.0754219"
"7013","-1.5757093","-1.5757093","-1.5757093"
"7026","-1.1837088","-1.1837088","-1.1837088"
"7051","-1.4462812","-1.4462812","-1.4462812"
"7072","-1.1265484","-1.1265484","-1.1265484"
"7093","-1.2023121","-1.2023121","-1.2023121"
"7114","-1.3318149","-1.3318149","-1.3318149"
"7131","-1.0359558","-1.0359558","-1.0359558"
"7152","-1.1301266","-1.1301266","-1.1301266"
"7169","-1.1958699","-1.1958699","-1.1958699"
"7190","-1.0104579","-1.0104579","-1.0104579"
"7211","-1.2230622","-1.2230622","-1.2230622"
"7228","-1.0512646","-1.0512646","-1.0512646"
"7241","-1.1666455","-1.1666455","-1.1666455"
"7270","-1.0323623","-1.0323623","-1.0323623"
"7287","-1.175665","-1.175665","-1.175665"
"7308","-1.366507","-1.366507","-1.366507"
"7329","-1.1855828","-1.1855828","-1.1855828"
"7346","-1.0271683","-1.0271683","-1.0271683"
"7359","-1.0142658","-1.0142658","-1.0142658"
"7388","-1.0791821","-1.0791821","-1.0791821"
"7405","-1.2409651","-1.2409651","-1.2409651"
"7418","-1.2497349","-1.2497349","-1.2497349"
"7439","-0.9132194","-0.9132194","-0.9132194"
"7464","-0.9935636","-0.9935636","-0.9935636"
"7485","-0.92969733","-0.92969733","-0.92969733"
"7506","-1.1156343","-1.1156343","-1.1156343"
"7523","-1.2615873","-1.2615873","-1.2615873"
"7544","-1.0098809","-1.0098809","-1.0098809"
"7565","-0.92580545","-0.92580545","-0.92580545"
"7582","-1.2426906","-1.2426906","-1.2426906"
"7603","-1.0637052","-1.0637052","-1.0637052"
"7624","-1.2002047","-1.2002047","-1.2002047"
"7641","-0.87702805","-0.87702805","-0.87702805"
"7654","-1.0097578","-1.0097578","-1.0097578"
"7683","-1.4284644","-1.4284644","-1.4284644"
"7700","-0.9618672","-0.9618672","-0.9618672"
"7721","-1.0377225","-1.0377225","-1.0377225"
"7742","-0.992993","-0.992993","-0.992993"
"7751","-0.9993227","-0.9993227","-0.9993227"
"7780","-1.0524198","-1.0524198","-1.0524198"
"7801","-0.97611034","-0.97611034","-0.97611034"
"7818","-1.0780736","-1.0780736","-1.0780736"
"7831","-1.0525647","-1.0525647","-1.0525647"
"7852","-1.1816885","-1.1816885","-1.1816885"
"7877","-0.9625867","-0.9625867","-0.9625867"
"7898","-0.9586242","-0.9586242","-0.9586242"
"7919","-0.9059048","-0.9059048","-0.9059048"
"7928","-0.84827995","-0.84827995","-0.84827995"
"7949","-1.0142093","-1.0142093","-1.0142093"
"7978","-0.9672843","-0.9672843","-0.9672843"
"7995","-0.99683243","-0.99683243","-0.99683243"
"8008","-0.7491408","-0.7491408","-0.7491408"
"8029","-0.791598","-0.791598","-0.791598"
"8054","-1.1351337","-1.1351337","-1.1351337"
"8075","-0.83258945","-0.83258945","-0.83258945"
"8088","-0.8111181","-0.8111181","-0.8111181"
"8113","-0.8011334","-0.8011334","-0.8011334"
"8134","-0.8929324","-0.8929324","-0.8929324"
"8147","-1.0040823","-1.0040823","-1.0040823"
"8172","-0.8415226","-0.8415226","-0.8415226"
"8193","-0.90901506","-0.90901506","-0.90901506"
"8206","-0.8498277","-0.8498277","-0.8498277"
"8231","-1.0012244","-1.0012244","-1.0012244"
"8252","-0.9273591","-0.9273591","-0.9273591"
"8273","-0.69560707","-0.69560707","-0.69560707"
"8282","-0.6385274","-0.6385274","-0.6385274"
"8311","-0.9709411","-0.9709411","-0.9709411"
"8332","-0.95165944","-0.95165944","-0.95165944"
"8349","-0.9815829","-0.9815829","-0.9815829"
"8370","-0.7677625","-0.7677625","-0.7677625"
"8391","-0.7713247","-0.7713247","-0.7713247"
"8400","-0.74668384","-0.74668384","-0.74668384"
"8429","-0.77534884","-0.77534884","-0.77534884"
