"Step","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)__MIN","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)__MAX"
"3909","157.4825","157.4825","157.4825"
"3921","168.07408","168.07408","168.07408"
"3949","144.01024","144.01024","144.01024"
"3958","151.02983","151.02983","151.02983"
"3978","160.9194","160.9194","160.9194"
"4006","150.87779","150.87779","150.87779"
"4023","168.293","168.293","168.293"
"4035","137.54327","137.54327","137.54327"
"4063","156.31061","156.31061","156.31061"
"4080","143.94957","143.94957","143.94957"
"4100","140.20609","140.20609","140.20609"
"4112","124.730034","124.730034","124.730034"
"4129","159.51605","159.51605","159.51605"
"4157","126.89979","126.89979","126.89979"
"4177","134.7434","134.7434","134.7434"
"4186","149.23672","149.23672","149.23672"
"4214","147.61322","147.61322","147.61322"
"4234","128.60606","128.60606","128.60606"
"4243","133.78322","133.78322","133.78322"
"4271","129.84335","129.84335","129.84335"
"4291","122.60156","122.60156","122.60156"
"4300","151.39005","151.39005","151.39005"
"4328","121.78856","121.78856","121.78856"
"4340","203.7014","203.7014","203.7014"
"4357","170.86787","170.86787","170.86787"
"4377","134.20041","134.20041","134.20041"
"4405","132.90424","132.90424","132.90424"
"4414","122.69631","122.69631","122.69631"
"4442","120.83582","120.83582","120.83582"
"4462","143.69144","143.69144","143.69144"
"4479","126.82254","126.82254","126.82254"
"4491","138.39334","138.39334","138.39334"
"4511","136.92215","136.92215","136.92215"
"4536","134.79713","134.79713","134.79713"
"4548","151.1251","151.1251","151.1251"
"4576","125.48205","125.48205","125.48205"
"4585","148.40459","148.40459","148.40459"
"4613","140.41454","140.41454","140.41454"
"4633","146.60239","146.60239","146.60239"
"4642","129.4046","129.4046","129.4046"
"4662","144.42522","144.42522","144.42522"
"4682","134.77202","134.77202","134.77202"
"4707","125.85943","125.85943","125.85943"
"4719","145.35555","145.35555","145.35555"
"4747","121.97763","121.97763","121.97763"
"4764","143.33327","143.33327","143.33327"
"4776","133.78278","133.78278","133.78278"
"4796","125.72763","125.72763","125.72763"
"4813","123.76525","123.76525","123.76525"
"4841","124.59986","124.59986","124.59986"
"4861","162.42307","162.42307","162.42307"
"4870","142.28032","142.28032","142.28032"
"4890","127.423256","127.423256","127.423256"
"4918","124.27044","124.27044","124.27044"
"4935","152.00266","152.00266","152.00266"
"4955","125.07122","125.07122","125.07122"
"4967","147.72377","147.72377","147.72377"
"4992","139.75717","139.75717","139.75717"
"5004","137.62975","137.62975","137.62975"
"5024","157.82626","157.82626","157.82626"
"5049","200.65659","200.65659","200.65659"
"5069","147.90439","147.90439","147.90439"
"5081","129.36458","129.36458","129.36458"
"5106","126.62324","126.62324","126.62324"
"5118","126.614075","126.614075","126.614075"
"5138","138.26701","138.26701","138.26701"
"5155","133.50018","133.50018","133.50018"
"5183","145.06873","145.06873","145.06873"
"5195","139.43059","139.43059","139.43059"
"5212","125.47914","125.47914","125.47914"
"5232","129.35286","129.35286","129.35286"
"5252","152.40053","152.40053","152.40053"
"5269","141.22182","141.22182","141.22182"
"5297","138.96115","138.96115","138.96115"
"5317","139.86502","139.86502","139.86502"
"5326","152.28036","152.28036","152.28036"
"5346","127.83281","127.83281","127.83281"
"5366","156.83182","156.83182","156.83182"
"5383","151.71584","151.71584","151.71584"
"5403","132.49792","132.49792","132.49792"
"5423","141.59586","141.59586","141.59586"
"5440","139.41635","139.41635","139.41635"
"5460","161.41466","161.41466","161.41466"
"5488","175.24669","175.24669","175.24669"
"5505","132.19653","132.19653","132.19653"
"5525","123.960915","123.960915","123.960915"
"5537","132.44487","132.44487","132.44487"
"5562","131.1052","131.1052","131.1052"
"5582","136.22615","136.22615","136.22615"
"5594","131.19067","131.19067","131.19067"
"5611","140.73775","140.73775","140.73775"
"5631","137.9411","137.9411","137.9411"
"5651","140.31793","140.31793","140.31793"
"5676","134.14761","134.14761","134.14761"
"5696","139.17563","139.17563","139.17563"
"5716","122.31478","122.31478","122.31478"
"5725","127.1784","127.1784","127.1784"
"5745","127.80996","127.80996","127.80996"
