"Step","Feb13_16-07-32_PPO - Reward / Total reward (mean)","Feb13_16-07-32_PPO - Reward / Total reward (mean)__MIN","Feb13_16-07-32_PPO - Reward / Total reward (mean)__MAX"
"4231","1.4668424","1.4668424","1.4668424"
"4240","1.3084214","1.3084214","1.3084214"
"4268","1.2269263","1.2269263","1.2269263"
"4280","1.2515808","1.2515808","1.2515808"
"4297","1.3965806","1.3965806","1.3965806"
"4317","1.5311109","1.5311109","1.5311109"
"4345","1.489328","1.489328","1.489328"
"4354","1.658474","1.658474","1.658474"
"4374","1.5708212","1.5708212","1.5708212"
"4402","1.6189177","1.6189177","1.6189177"
"4411","1.7195575","1.7195575","1.7195575"
"4431","1.3715174","1.3715174","1.3715174"
"4451","1.5297437","1.5297437","1.5297437"
"4476","1.6268868","1.6268868","1.6268868"
"4488","1.4878974","1.4878974","1.4878974"
"4508","1.6239123","1.6239123","1.6239123"
"4525","1.5028917","1.5028917","1.5028917"
"4553","1.5628601","1.5628601","1.5628601"
"4565","1.6334218","1.6334218","1.6334218"
"4582","1.6374096","1.6374096","1.6374096"
"4602","1.4858155","1.4858155","1.4858155"
"4630","1.6664642","1.6664642","1.6664642"
"4647","1.5191157","1.5191157","1.5191157"
"4667","1.1733094","1.1733094","1.1733094"
"4687","1.4182098","1.4182098","1.4182098"
"4696","1.3126788","1.3126788","1.3126788"
"4716","1.2796222","1.2796222","1.2796222"
"4736","1.3252522","1.3252522","1.3252522"
"4753","0.96928513","0.96928513","0.96928513"
"4773","1.3130262","1.3130262","1.3130262"
"4793","1.4682456","1.4682456","1.4682456"
"4810","1.3157482","1.3157482","1.3157482"
"4830","1.499281","1.499281","1.499281"
"4850","1.2221504","1.2221504","1.2221504"
"4867","1.4205772","1.4205772","1.4205772"
"4887","1.2425046","1.2425046","1.2425046"
"4907","1.665039","1.665039","1.665039"
"4924","1.5830637","1.5830637","1.5830637"
"4944","1.1416019","1.1416019","1.1416019"
"4964","1.5557696","1.5557696","1.5557696"
"4981","1.4825562","1.4825562","1.4825562"
"5001","1.3938725","1.3938725","1.3938725"
"5021","1.4841177","1.4841177","1.4841177"
"5046","1.0986909","1.0986909","1.0986909"
"5058","1.1947712","1.1947712","1.1947712"
"5078","1.5817785","1.5817785","1.5817785"
"5095","1.4264148","1.4264148","1.4264148"
"5115","1.2845868","1.2845868","1.2845868"
"5135","1.0647118","1.0647118","1.0647118"
"5152","1.3708273","1.3708273","1.3708273"
"5172","1.3981956","1.3981956","1.3981956"
"5192","1.4381781","1.4381781","1.4381781"
"5209","1.4083985","1.4083985","1.4083985"
"5229","1.1413022","1.1413022","1.1413022"
"5257","1.6774902","1.6774902","1.6774902"
"5274","1.2231865","1.2231865","1.2231865"
"5286","1.491283","1.491283","1.491283"
"5306","1.2004002","1.2004002","1.2004002"
"5331","1.4914669","1.4914669","1.4914669"
"5343","1.4385053","1.4385053","1.4385053"
"5371","1.5011106","1.5011106","1.5011106"
"5380","0.90016687","0.90016687","0.90016687"
"5400","1.6308504","1.6308504","1.6308504"
"5420","1.3206099","1.3206099","1.3206099"
"5437","1.7294807","1.7294807","1.7294807"
"5457","1.7310414","1.7310414","1.7310414"
"5477","1.4236177","1.4236177","1.4236177"
"5494","1.7567537","1.7567537","1.7567537"
"5514","1.5985671","1.5985671","1.5985671"
"5542","1.5961827","1.5961827","1.5961827"
"5551","1.4192419","1.4192419","1.4192419"
"5571","1.3005049","1.3005049","1.3005049"
"5591","1.4485537","1.4485537","1.4485537"
"5616","1.4475324","1.4475324","1.4475324"
"5628","1.4999311","1.4999311","1.4999311"
"5648","1.4317797","1.4317797","1.4317797"
"5665","1.5695069","1.5695069","1.5695069"
"5685","1.3804319","1.3804319","1.3804319"
"5713","1.4633219","1.4633219","1.4633219"
"5722","1.4439068","1.4439068","1.4439068"
"5742","1.5277117","1.5277117","1.5277117"
"5770","1.3998578","1.3998578","1.3998578"
"5779","1.5516115","1.5516115","1.5516115"
"5799","1.5189894","1.5189894","1.5189894"
"5827","1.2308301","1.2308301","1.2308301"
"5844","1.5895807","1.5895807","1.5895807"
"5864","1.5488944","1.5488944","1.5488944"
"5884","1.6502339","1.6502339","1.6502339"
"5893","1.6919962","1.6919962","1.6919962"
"5921","1.664158","1.664158","1.664158"
"5933","1.2290171","1.2290171","1.2290171"
"5950","1.5941259","1.5941259","1.5941259"
