elapsed_s,r0_speed,r0_distance,r0_x,r0_y,r1_speed,r1_distance,r1_x,r1_y
202.402,0.5704,5.0415,169.3562,89.1642,0.6376,49.7772,54.4517,119.9835
202.502,0.5419,5.0415,169.3562,89.1642,0.6057,49.7772,54.4517,119.9835
202.602,0.5148,5.0415,169.3562,89.1642,0.5754,49.7772,54.4517,119.9835
202.702,0.5878,5.0415,169.5188,89.2728,0.6637,49.7772,54.6467,119.8593
202.802,0.5584,4.8469,169.5188,89.2728,0.6305,49.5487,54.6467,119.8593
202.902,0.5305,4.8469,169.5188,89.2728,0.599,49.5487,54.6467,119.8593
203.002,0.6046,4.6467,169.6841,89.3885,0.6805,49.3268,54.8388,119.7449
203.102,0.5743,4.6467,169.6841,89.3885,0.6465,49.3268,54.8388,119.7449
203.202,0.5456,4.6467,169.6841,89.3885,0.6141,49.3268,54.8388,119.7449
203.302,0.5183,4.6467,169.6841,89.3885,0.5834,49.3268,54.8388,119.7449
203.402,0.6,4.4352,169.8565,89.5155,0.6703,49.0976,55.0373,119.6267
203.502,0.57,4.4352,169.8565,89.5155,0.6368,49.0976,55.0373,119.6267
203.602,0.5415,4.4352,169.8565,89.5155,0.605,49.0976,55.0373,119.6267
203.702,0.5415,4.4352,169.8565,89.5155,0.605,49.0976,55.0373,119.6267
203.802,0.5848,4.2155,170.0304,89.658,0.6418,48.8744,55.2327,119.5166
203.902,0.5555,4.2155,170.0304,89.658,0.6097,48.8744,55.2327,119.5166
204.002,0.6377,4.0013,170.198,89.8027,0.6875,48.6595,55.4184,119.4049
204.102,0.6058,4.0013,170.198,89.8027,0.6531,48.6595,55.4184,119.4049
204.202,0.5755,4.0013,170.198,89.8027,0.6205,48.6595,55.4184,119.4049
204.302,0.6553,3.8012,170.3565,89.935,0.7098,48.4317,55.6186,119.2939
204.402,0.6226,3.8012,170.3565,89.935,0.6743,48.4317,55.6186,119.2939
204.502,0.5914,3.8012,170.3565,89.935,0.6406,48.4317,55.6186,119.2939
204.602,0.5619,3.8012,170.3565,89.935,0.6086,48.4317,55.6186,119.2939
204.702,0.6267,3.6202,170.5015,90.053,0.6816,48.2224,55.8096,119.2085
204.802,0.5953,3.6202,170.5015,90.053,0.6475,48.2224,55.8096,119.2085
