"Step","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss__MAX"
"6229","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"6250","-2.9802322e-8","-2.9802322e-8","-2.9802322e-8"
"6288","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"6309","7.947286e-9","7.947286e-9","7.947286e-9"
"6347","-8.443992e-9","-8.443992e-9","-8.443992e-9"
"6368","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"6406","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"6427","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"6465","1.937151e-8","1.937151e-8","1.937151e-8"
"6486","3.973643e-9","3.973643e-9","3.973643e-9"
"6524","3.973643e-9","3.973643e-9","3.973643e-9"
"6545","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"6583","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"6604","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"6642","0","0","0"
"6663","7.947286e-9","7.947286e-9","7.947286e-9"
"6701","1.2914341e-8","1.2914341e-8","1.2914341e-8"
"6722","0","0","0"
"6760","9.934108e-9","9.934108e-9","9.934108e-9"
"6781","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"6819","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"6840","-1.6887984e-8","-1.6887984e-8","-1.6887984e-8"
"6878","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"6899","3.973643e-9","3.973643e-9","3.973643e-9"
"6937","2.9802325e-9","2.9802325e-9","2.9802325e-9"
"6958","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"6996","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"7017","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"7055","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"7076","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"7114","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"7135","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"7173","0","0","0"
"7194","7.947286e-9","7.947286e-9","7.947286e-9"
"7232","-4.768372e-8","-4.768372e-8","-4.768372e-8"
"7253","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"7291","8.940697e-9","8.940697e-9","8.940697e-9"
"7312","1.9619863e-8","1.9619863e-8","1.9619863e-8"
"7350","-3.1789146e-8","-3.1789146e-8","-3.1789146e-8"
"7371","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"7409","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"7430","-1.4901161e-8","-1.4901161e-8","-1.4901161e-8"
"7468","9.934108e-10","9.934108e-10","9.934108e-10"
"7489","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"7527","4.4703485e-9","4.4703485e-9","4.4703485e-9"
"7548","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"7586","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"7607","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"7645","1.9868216e-8","1.9868216e-8","1.9868216e-8"
"7666","5.960465e-9","5.960465e-9","5.960465e-9"
"7704","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"7725","1.3907751e-8","1.3907751e-8","1.3907751e-8"
"7763","0","0","0"
"7784","5.960465e-9","5.960465e-9","5.960465e-9"
"7822","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"7843","5.960465e-9","5.960465e-9","5.960465e-9"
"7881","0","0","0"
"7902","0","0","0"
"7940","-3.1789146e-8","-3.1789146e-8","-3.1789146e-8"
"7961","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"7999","-2.483527e-8","-2.483527e-8","-2.483527e-8"
"8020","3.973643e-9","3.973643e-9","3.973643e-9"
"8058","2.1855037e-8","2.1855037e-8","2.1855037e-8"
"8079","9.934108e-10","9.934108e-10","9.934108e-10"
"8117","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"8138","0","0","0"
"8176","3.973643e-9","3.973643e-9","3.973643e-9"
"8197","0","0","0"
"8235","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"8256","1.9868216e-8","1.9868216e-8","1.9868216e-8"
"8294","3.973643e-9","3.973643e-9","3.973643e-9"
"8315","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"8353","9.934108e-10","9.934108e-10","9.934108e-10"
"8374","9.934108e-9","9.934108e-9","9.934108e-9"
"8412","1.192093e-8","1.192093e-8","1.192093e-8"
"8433","1.7881394e-8","1.7881394e-8","1.7881394e-8"
"8471","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"8492","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"8530","5.960465e-9","5.960465e-9","5.960465e-9"
"8551","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"8589","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"8610","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"8648","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"8669","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"8707","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"8728","-1.8874806e-8","-1.8874806e-8","-1.8874806e-8"
"8766","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"8787","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"8825","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"8846","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"8884","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"8905","7.947286e-9","7.947286e-9","7.947286e-9"
"8943","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"8964","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"9002","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"9023","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"9061","-1.8874806e-8","-1.8874806e-8","-1.8874806e-8"
"9082","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"9120","0","0","0"
"9141","3.377597e-8","3.377597e-8","3.377597e-8"
"9179","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"9200","2.7815503e-8","2.7815503e-8","2.7815503e-8"
"9238","4.967054e-9","4.967054e-9","4.967054e-9"
